From Station,To Station,Coordenadas 1,Coordenadas 2,Distancia
piraeus,faliro,"(37.94806, 23.64361)","(37.945, 23.66528)",1.9303961804168457
piraeus,moschato,"(37.94806, 23.64361)","(37.95528, 23.68056)",3.3377887376495385
piraeus,kallithea,"(37.94806, 23.64361)","(37.96056, 23.69722)",4.901590856315549
piraeus,tavros,"(37.94806, 23.64361)","(37.9625, 23.70333)",5.476691006966137
piraeus,petralona,"(37.94806, 23.64361)","(37.96861, 23.70917)",6.185380796569996
piraeus,thissio,"(37.94806, 23.64361)","(37.97721, 23.71954)",7.40381910105471
piraeus,monastiraki,"(37.94806, 23.64361)","(37.972281, 23.721902)",7.373378876864198
piraeus,omonia,"(37.94806, 23.64361)","(37.983787, 23.723607)",8.05988886695353
piraeus,victoria,"(37.94806, 23.64361)","(37.993056, 23.730556)",9.117066543426196
piraeus,attiki,"(37.94806, 23.64361)","(37.993096, 23.753713)",10.873255020344356
piraeus,aghios nikolaos,"(37.94806, 23.64361)","(38.0069, 23.7277)",9.855507378324562
piraeus,kato patissia,"(37.94806, 23.64361)","(38.011944, 23.728611)",10.293901549797235
piraeus,aghios eleftherios,"(37.94806, 23.64361)","(38.019722, 23.731667)",11.09307241897187
piraeus,ano patissia,"(37.94806, 23.64361)","(38.020949, 23.734997)",11.394649166383662
piraeus,perissos,"(37.94806, 23.64361)","(38.032778, 23.744722)",12.932744762011051
piraeus,pefkakia,"(37.94806, 23.64361)","(38.036944, 23.75)",13.586906150721804
piraeus,nea ionia,"(37.94806, 23.64361)","(38.041528, 23.755)",14.258171966272672
piraeus,iraklio,"(37.94806, 23.64361)","(38.0463, 23.7662)",15.320648417868792
piraeus,irini,"(37.94806, 23.64361)","(38.0432, 23.7834)",16.18543801104943
piraeus,neratziotissa,"(37.94806, 23.64361)","(38.040333, 23.788996)",16.358032167693942
piraeus,maroussi,"(37.94806, 23.64361)","(38.0562, 23.805)",18.56235459292437
piraeus,kat,"(37.94806, 23.64361)","(38.0648, 23.8095)",19.48731121354135
piraeus,kifissia,"(37.94806, 23.64361)","(38.0737, 23.8083)",20.083747950234862
piraeus,anthoupoli,"(37.94806, 23.64361)","(38.016944, 23.691667)",8.741222833952333
piraeus,peristeri,"(37.94806, 23.64361)","(38.012981, 23.695731)",8.542889727331605
piraeus,aghios antonios,"(37.94806, 23.64361)","(38.006111, 23.699722)",8.115161708431492
piraeus,sepolia,"(37.94806, 23.64361)","(38.002786, 23.713583)",8.639889054002003
piraeus,larissa st.,"(37.94806, 23.64361)","(37.992289, 23.720556)",8.347565954713607
piraeus,metaxourghio,"(37.94806, 23.64361)","(37.9858, 23.721)",7.9772124894891
piraeus,panepistimio,"(37.94806, 23.64361)","(37.980278, 23.733056)",8.620957328524005
piraeus,syntagma,"(37.94806, 23.64361)","(37.97499, 23.73556)",8.599366504204273
piraeus,akropoli,"(37.94806, 23.64361)","(37.96875, 23.729583)",7.880762614429807
piraeus,sygroy - fix,"(37.94806, 23.64361)","(37.964605, 23.7268)",7.5221322302786815
piraeus,neos kosmos,"(37.94806, 23.64361)","(37.95778, 23.72861)",7.530690535689965
piraeus,aghios ioannis,"(37.94806, 23.64361)","(37.9565, 23.7342)",7.998173036529021
piraeus,dafni,"(37.94806, 23.64361)","(37.949236, 23.737222)",8.209338315272799
piraeus,aghios dimitrios,"(37.94806, 23.64361)","(37.940278, 23.740694)",8.557119570457823
piraeus,ilioupoli,"(37.94806, 23.64361)","(37.929583, 23.744514)",9.084257826837927
piraeus,alimos,"(37.94806, 23.64361)","(37.918056, 23.744514)",9.45757445612943
piraeus,argyroupoli,"(37.94806, 23.64361)","(37.903056, 23.745903)",10.27348227695141
piraeus,elliniko,"(37.94806, 23.64361)","(37.892569, 23.747153)",10.980270056843047
piraeus,dimotiko theatro,"(37.94806, 23.64361)","(37.942924, 23.647588)",0.6692012084889254
piraeus,maniatika,"(37.94806, 23.64361)","(37.95968, 23.640033)",1.3296046561433508
piraeus,nikea,"(37.94806, 23.64361)","(37.966666, 23.633333)",2.2565844900638288
piraeus,korydallos,"(37.94806, 23.64361)","(37.9789, 23.6405)",3.4400774346635012
piraeus,aghia varvara,"(37.94806, 23.64361)","(37.989722, 23.659444)",4.836076992538787
piraeus,aghia marina,"(37.94806, 23.64361)","(37.9972, 23.6674)",5.848526608770192
piraeus,egaleo,"(37.94806, 23.64361)","(37.9913, 23.6772)",5.638039723198952
piraeus,eleonas,"(37.94806, 23.64361)","(37.9878, 23.6925)",6.155836513026775
piraeus,kerameikos,"(37.94806, 23.64361)","(37.9786, 23.7115)",6.852355125396285
piraeus,evangelismos,"(37.94806, 23.64361)","(37.976388, 23.746944)",9.59109808256821
piraeus,megaro moussikis,"(37.94806, 23.64361)","(37.97861, 23.7525)",10.132438435191519
piraeus,ambelokipi,"(37.94806, 23.64361)","(37.98722, 23.7575)",10.892040977527195
piraeus,panormou,"(37.94806, 23.64361)","(37.9931, 23.7637)",11.657487059886655
piraeus,katehaki,"(37.94806, 23.64361)","(37.9954, 23.7727)",12.480073412077672
piraeus,ethniki amyna,"(37.94806, 23.64361)","(38.0, 23.785555)",13.717155072719333
piraeus,holargos,"(37.94806, 23.64361)","(38.001666, 23.812222)",15.936089905360763
piraeus,nomismatokopio,"(37.94806, 23.64361)","(38.00917, 23.80583)",15.758639622775743
piraeus,aghia paraskevi,"(37.94806, 23.64361)","(38.017222, 23.8125)",16.680722959977462
piraeus,halandri,"(37.94806, 23.64361)","(38.02167, 23.82083)",17.55648272390388
piraeus,douk. plakentias,"(37.94806, 23.64361)","(38.023361, 23.833055)",18.594806211041305
piraeus,pallini,"(37.94806, 23.64361)","(38.00528, 23.86972)",20.814990062971255
piraeus,peania - kantza,"(37.94806, 23.64361)","(37.98417, 23.87)",20.24821757433426
piraeus,koropi,"(37.94806, 23.64361)","(37.91278, 23.89583)",22.46635257380922
piraeus,airport,"(37.94806, 23.64361)","(37.9369, 23.9448)",26.440957880591924
faliro,moschato,"(37.945, 23.66528)","(37.95528, 23.68056)",1.7611576077687905
faliro,kallithea,"(37.945, 23.66528)","(37.96056, 23.69722)",3.291845715710284
faliro,tavros,"(37.945, 23.66528)","(37.9625, 23.70333)",3.8621887199726364
faliro,petralona,"(37.945, 23.66528)","(37.96861, 23.70917)",4.6582881122463675
faliro,thissio,"(37.945, 23.66528)","(37.97721, 23.71954)",5.954518372274844
faliro,monastiraki,"(37.945, 23.66528)","(37.972281, 23.721902)",5.817671294269964
faliro,omonia,"(37.945, 23.66528)","(37.983787, 23.723607)",6.689301829694653
faliro,victoria,"(37.945, 23.66528)","(37.993056, 23.730556)",7.829192276532869
faliro,attiki,"(37.945, 23.66528)","(37.993096, 23.753713)",9.417824773267917
faliro,aghios nikolaos,"(37.945, 23.66528)","(38.0069, 23.7277)",8.792584614129076
faliro,kato patissia,"(37.945, 23.66528)","(38.011944, 23.728611)",9.28563488978067
faliro,aghios eleftherios,"(37.945, 23.66528)","(38.019722, 23.731667)",10.143412770144241
faliro,ano patissia,"(37.945, 23.66528)","(38.020949, 23.734997)",10.423793825954576
faliro,perissos,"(37.945, 23.66528)","(38.032778, 23.744722)",11.989009173764737
faliro,pefkakia,"(37.945, 23.66528)","(38.036944, 23.75)",12.63507265781856
faliro,nea ionia,"(37.945, 23.66528)","(38.041528, 23.755)",13.304947973454306
faliro,iraklio,"(37.945, 23.66528)","(38.0463, 23.7662)",14.320798306700876
faliro,irini,"(37.945, 23.66528)","(38.0432, 23.7834)",15.045677100168469
faliro,neratziotissa,"(37.945, 23.66528)","(38.040333, 23.788996)",15.162738318360224
faliro,maroussi,"(37.945, 23.66528)","(38.0562, 23.805)",17.400317110847027
faliro,kat,"(37.945, 23.66528)","(38.0648, 23.8095)",18.360970731866843
faliro,kifissia,"(37.945, 23.66528)","(38.0737, 23.8083)",19.021190460477555
faliro,anthoupoli,"(37.945, 23.66528)","(38.016944, 23.691667)",8.327407010812784
faliro,peristeri,"(37.945, 23.66528)","(38.012981, 23.695731)",8.01649469997267
faliro,aghios antonios,"(37.945, 23.66528)","(38.006111, 23.699722)",7.435668225905196
faliro,sepolia,"(37.945, 23.66528)","(38.002786, 23.713583)",7.695042116668205
faliro,larissa st.,"(37.945, 23.66528)","(37.992289, 23.720556)",7.150438451693298
faliro,metaxourghio,"(37.945, 23.66528)","(37.9858, 23.721)",6.666483565955896
faliro,panepistimio,"(37.945, 23.66528)","(37.980278, 23.733056)",7.119855312809311
faliro,syntagma,"(37.945, 23.66528)","(37.97499, 23.73556)",7.006035221669564
faliro,akropoli,"(37.945, 23.66528)","(37.96875, 23.729583)",6.2256117483084426
faliro,sygroy - fix,"(37.945, 23.66528)","(37.964605, 23.7268)",5.817755424912163
faliro,neos kosmos,"(37.945, 23.66528)","(37.95778, 23.72861)",5.731791307936394
faliro,aghios ioannis,"(37.945, 23.66528)","(37.9565, 23.7342)",6.176838459244432
faliro,dafni,"(37.945, 23.66528)","(37.949236, 23.737222)",6.325871294109676
faliro,aghios dimitrios,"(37.945, 23.66528)","(37.940278, 23.740694)",6.633971320190065
faliro,ilioupoli,"(37.945, 23.66528)","(37.929583, 23.744514)",7.156989271940545
faliro,alimos,"(37.945, 23.66528)","(37.918056, 23.744514)",7.567530449926528
faliro,argyroupoli,"(37.945, 23.66528)","(37.903056, 23.745903)",8.47124587922832
faliro,elliniko,"(37.945, 23.66528)","(37.892569, 23.747153)",9.250363326327419
faliro,dimotiko theatro,"(37.945, 23.66528)","(37.942924, 23.647588)",1.568488429104684
faliro,maniatika,"(37.945, 23.66528)","(37.95968, 23.640033)",2.7504190035759173
faliro,nikea,"(37.945, 23.66528)","(37.966666, 23.633333)",3.6945194412173845
faliro,korydallos,"(37.945, 23.66528)","(37.9789, 23.6405)",4.350706491562013
faliro,aghia varvara,"(37.945, 23.66528)","(37.989722, 23.659444)",4.9991128495825015
faliro,aghia marina,"(37.945, 23.66528)","(37.9972, 23.6674)",5.807357262850151
faliro,egaleo,"(37.945, 23.66528)","(37.9913, 23.6772)",5.253301762894364
faliro,eleonas,"(37.945, 23.66528)","(37.9878, 23.6925)",5.323851686755352
faliro,kerameikos,"(37.945, 23.66528)","(37.9786, 23.7115)",5.511613053369197
faliro,evangelismos,"(37.945, 23.66528)","(37.976388, 23.746944)",7.964889298569332
faliro,megaro moussikis,"(37.945, 23.66528)","(37.97861, 23.7525)",8.51089572354824
faliro,ambelokipi,"(37.945, 23.66528)","(37.98722, 23.7575)",9.348582143190814
faliro,panormou,"(37.945, 23.66528)","(37.9931, 23.7637)",10.150850674607169
faliro,katehaki,"(37.945, 23.66528)","(37.9954, 23.7727)",10.957813287252568
faliro,ethniki amyna,"(37.945, 23.66528)","(38.0, 23.785555)",12.188218991800284
faliro,holargos,"(37.945, 23.66528)","(38.001666, 23.812222)",14.33879340366301
faliro,nomismatokopio,"(37.945, 23.66528)","(38.00917, 23.80583)",14.23648745571917
faliro,aghia paraskevi,"(37.945, 23.66528)","(38.017222, 23.8125)",15.198167338048103
faliro,halandri,"(37.945, 23.66528)","(38.02167, 23.82083)",16.07903758018737
faliro,douk. plakentias,"(37.945, 23.66528)","(38.023361, 23.833055)",17.091903871469075
faliro,pallini,"(37.945, 23.66528)","(38.00528, 23.86972)",19.132263515960073
faliro,peania - kantza,"(37.945, 23.66528)","(37.98417, 23.87)",18.46777673310496
faliro,koropi,"(37.945, 23.66528)","(37.91278, 23.89583)",20.53596533961378
faliro,airport,"(37.945, 23.66528)","(37.9369, 23.9448)",24.528599333020505
moschato,kallithea,"(37.95528, 23.68056)","(37.96056, 23.69722)",1.5742150380703488
moschato,tavros,"(37.95528, 23.68056)","(37.9625, 23.70333)",2.1516771311380345
